sku,date,units_sold
SKU-001-PANTRY,2024-01-01,193.3
SKU-001-PANTRY,2024-01-02,161.1
SKU-001-PANTRY,2024-01-03,138.3
SKU-001-PANTRY,2024-01-04,94.7
SKU-001-PANTRY,2024-01-05,125.2
SKU-001-PANTRY,2024-01-06,137.7
SKU-001-PANTRY,2024-01-07,156.9
SKU-001-PANTRY,2024-01-08,178.2
SKU-001-PANTRY,2024-01-09,171.8
SKU-001-PANTRY,2024-01-10,133.6
SKU-001-PANTRY,2024-01-11,118.2
SKU-001-PANTRY,2024-01-12,122.0
SKU-001-PANTRY,2024-01-13,152.3
SKU-001-PANTRY,2024-01-14,172.6
SKU-001-PANTRY,2024-01-15,161.3
SKU-001-PANTRY,2024-01-16,155.9
SKU-001-PANTRY,2024-01-17,157.9
SKU-001-PANTRY,2024-01-18,150.5
SKU-001-PANTRY,2024-01-19,130.1
SKU-001-PANTRY,2024-01-20,138.7
SKU-001-PANTRY,2024-01-21,181.9
SKU-001-PANTRY,2024-01-22,176.2
SKU-001-PANTRY,2024-01-23,181.1
SKU-001-PANTRY,2024-01-24,170.7
SKU-001-PANTRY,2024-01-25,142.3
SKU-001-PANTRY,2024-01-26,134.5
SKU-001-PANTRY,2024-01-27,158.9
SKU-001-PANTRY,2024-01-28,164.3
SKU-001-PANTRY,2024-01-29,181.2
SKU-001-PANTRY,2024-01-30,168.9
SKU-001-PANTRY,2024-01-31,153.1
SKU-001-PANTRY,2024-02-01,132.4
SKU-001-PANTRY,2024-02-02,135.0
SKU-001-PANTRY,2024-02-03,149.1
SKU-001-PANTRY,2024-02-04,176.7
SKU-001-PANTRY,2024-02-05,187.7
SKU-001-PANTRY,2024-02-06,183.1
SKU-001-PANTRY,2024-02-07,176.2
SKU-001-PANTRY,2024-02-08,123.5
SKU-001-PANTRY,2024-02-09,156.6
SKU-001-PANTRY,2024-02-10,154.7
SKU-001-PANTRY,2024-02-11,164.8
SKU-001-PANTRY,2024-02-12,188.9
SKU-001-PANTRY,2024-02-13,184.6
SKU-001-PANTRY,2024-02-14,176.2
SKU-001-PANTRY,2024-02-15,133.4
SKU-001-PANTRY,2024-02-16,147.8
SKU-001-PANTRY,2024-02-17,163.1
SKU-001-PANTRY,2024-02-18,163.6
SKU-001-PANTRY,2024-02-19,180.9
SKU-001-PANTRY,2024-02-20,195.0
SKU-001-PANTRY,2024-02-21,176.0
SKU-001-PANTRY,2024-02-22,163.4
SKU-001-PANTRY,2024-02-23,155.9
SKU-001-PANTRY,2024-02-24,170.8
SKU-001-PANTRY,2024-02-25,189.6
SKU-001-PANTRY,2024-02-26,214.0
SKU-001-PANTRY,2024-02-27,182.0
SKU-001-PANTRY,2024-02-28,170.3
SKU-001-PANTRY,2024-02-29,159.4
SKU-001-PANTRY,2024-03-01,135.0
SKU-001-PANTRY,2024-03-02,186.3
SKU-001-PANTRY,2024-03-03,183.1
SKU-001-PANTRY,2024-03-04,203.2
SKU-001-PANTRY,2024-03-05,222.6
SKU-001-PANTRY,2024-03-06,166.6
SKU-001-PANTRY,2024-03-07,153.0
SKU-001-PANTRY,2024-03-08,177.2
SKU-001-PANTRY,2024-03-09,162.1
SKU-001-PANTRY,2024-03-10,192.0
SKU-001-PANTRY,2024-03-11,214.8
SKU-001-PANTRY,2024-03-12,206.7
SKU-001-PANTRY,2024-03-13,188.2
SKU-001-PANTRY,2024-03-14,168.3
SKU-001-PANTRY,2024-03-15,179.2
SKU-001-PANTRY,2024-03-16,191.8
SKU-001-PANTRY,2024-03-17,208.9
SKU-001-PANTRY,2024-03-18,204.9
SKU-001-PANTRY,2024-03-19,197.2
SKU-001-PANTRY,2024-03-20,162.8
SKU-001-PANTRY,2024-03-21,176.7
SKU-001-PANTRY,2024-03-22,145.7
SKU-001-PANTRY,2024-03-23,194.7
SKU-001-PANTRY,2024-03-24,228.4
SKU-001-PANTRY,2024-03-25,204.9
SKU-001-PANTRY,2024-03-26,202.0
SKU-001-PANTRY,2024-03-27,184.4
SKU-001-PANTRY,2024-03-28,182.8
SKU-001-PANTRY,2024-03-29,161.6
SKU-001-PANTRY,2024-03-30,187.0
SKU-001-PANTRY,2024-03-31,204.3
SKU-001-PANTRY,2024-04-01,219.0
SKU-001-PANTRY,2024-04-02,230.1
SKU-001-PANTRY,2024-04-03,182.9
SKU-001-PANTRY,2024-04-04,178.0
SKU-001-PANTRY,2024-04-05,179.5
SKU-001-PANTRY,2024-04-06,203.1
SKU-001-PANTRY,2024-04-07,199.7
SKU-001-PANTRY,2024-04-08,239.6
SKU-001-PANTRY,2024-04-09,224.0
SKU-001-PANTRY,2024-04-10,209.1
SKU-001-PANTRY,2024-04-11,182.1
SKU-001-PANTRY,2024-04-12,160.6
SKU-001-PANTRY,2024-04-13,189.1
SKU-001-PANTRY,2024-04-14,228.6
SKU-001-PANTRY,2024-04-15,230.6
SKU-001-PANTRY,2024-04-16,222.1
SKU-001-PANTRY,2024-04-17,223.9
SKU-001-PANTRY,2024-04-18,211.5
SKU-001-PANTRY,2024-04-19,183.6
SKU-001-PANTRY,2024-04-20,223.8
SKU-001-PANTRY,2024-04-21,198.6
SKU-001-PANTRY,2024-04-22,209.2
SKU-001-PANTRY,2024-04-23,236.7
SKU-001-PANTRY,2024-04-24,202.9
SKU-001-PANTRY,2024-04-25,195.6
SKU-001-PANTRY,2024-04-26,193.8
SKU-001-PANTRY,2024-04-27,202.9
SKU-001-PANTRY,2024-04-28,234.1
SKU-001-PANTRY,2024-04-29,238.9
SKU-001-PANTRY,2024-04-30,211.2
SKU-001-PANTRY,2024-05-01,211.9
SKU-001-PANTRY,2024-05-02,194.0
SKU-001-PANTRY,2024-05-03,212.7
SKU-001-PANTRY,2024-05-04,193.5
SKU-001-PANTRY,2024-05-05,229.1
SKU-001-PANTRY,2024-05-06,235.0
SKU-001-PANTRY,2024-05-07,230.8
SKU-001-PANTRY,2024-05-08,232.0
SKU-001-PANTRY,2024-05-09,199.1
SKU-001-PANTRY,2024-05-10,187.8
SKU-001-PANTRY,2024-05-11,211.5
SKU-001-PANTRY,2024-05-12,240.7
SKU-001-PANTRY,2024-05-13,230.7
SKU-001-PANTRY,2024-05-14,231.7
SKU-001-PANTRY,2024-05-15,233.0
SKU-001-PANTRY,2024-05-16,207.2
SKU-001-PANTRY,2024-05-17,195.1
SKU-001-PANTRY,2024-05-18,206.2
SKU-001-PANTRY,2024-05-19,231.8
SKU-001-PANTRY,2024-05-20,226.1
SKU-001-PANTRY,2024-05-21,248.2
SKU-001-PANTRY,2024-05-22,220.5
SKU-001-PANTRY,2024-05-23,200.4
SKU-001-PANTRY,2024-05-24,181.9
SKU-001-PANTRY,2024-05-25,205.1
SKU-001-PANTRY,2024-05-26,241.5
SKU-001-PANTRY,2024-05-27,249.4
SKU-001-PANTRY,2024-05-28,232.5
SKU-001-PANTRY,2024-05-29,223.9
SKU-001-PANTRY,2024-05-30,211.4
SKU-001-PANTRY,2024-05-31,190.7
SKU-001-PANTRY,2024-06-01,208.5
SKU-001-PANTRY,2024-06-02,226.0
SKU-001-PANTRY,2024-06-03,233.5
SKU-001-PANTRY,2024-06-04,249.1
SKU-001-PANTRY,2024-06-05,225.0
SKU-001-PANTRY,2024-06-06,205.1
SKU-001-PANTRY,2024-06-07,185.6
SKU-001-PANTRY,2024-06-08,203.1
SKU-001-PANTRY,2024-06-09,236.3
SKU-001-PANTRY,2024-06-10,243.0
SKU-001-PANTRY,2024-06-11,241.5
SKU-001-PANTRY,2024-06-12,210.9
SKU-001-PANTRY,2024-06-13,209.3
SKU-001-PANTRY,2024-06-14,221.5
SKU-001-PANTRY,2024-06-15,234.5
SKU-001-PANTRY,2024-06-16,256.7
SKU-001-PANTRY,2024-06-17,248.9
SKU-001-PANTRY,2024-06-18,251.1
SKU-001-PANTRY,2024-06-19,214.7
SKU-001-PANTRY,2024-06-20,212.4
SKU-001-PANTRY,2024-06-21,195.2
SKU-001-PANTRY,2024-06-22,209.8
SKU-001-PANTRY,2024-06-23,229.3
SKU-001-PANTRY,2024-06-24,256.1
SKU-001-PANTRY,2024-06-25,242.9
SKU-001-PANTRY,2024-06-26,221.0
SKU-001-PANTRY,2024-06-27,187.0
SKU-001-PANTRY,2024-06-28,200.8
SKU-001-PANTRY,2024-06-29,197.6
SKU-001-PANTRY,2024-06-30,253.9
SKU-001-PANTRY,2024-07-01,245.2
SKU-001-PANTRY,2024-07-02,241.0
SKU-001-PANTRY,2024-07-03,216.4
SKU-001-PANTRY,2024-07-04,180.6
SKU-001-PANTRY,2024-07-05,181.4
SKU-001-PANTRY,2024-07-06,213.3
SKU-001-PANTRY,2024-07-07,252.8
SKU-001-PANTRY,2024-07-08,232.0
SKU-001-PANTRY,2024-07-09,228.7
SKU-001-PANTRY,2024-07-10,215.6
SKU-001-PANTRY,2024-07-11,177.8
SKU-001-PANTRY,2024-07-12,175.9
SKU-001-PANTRY,2024-07-13,207.0
SKU-001-PANTRY,2024-07-14,232.6
SKU-001-PANTRY,2024-07-15,238.9
SKU-001-PANTRY,2024-07-16,253.7
SKU-001-PANTRY,2024-07-17,212.3
SKU-001-PANTRY,2024-07-18,200.4
SKU-001-PANTRY,2024-07-19,213.4
SKU-001-PANTRY,2024-07-20,230.3
SKU-001-PANTRY,2024-07-21,211.9
SKU-001-PANTRY,2024-07-22,236.8
SKU-001-PANTRY,2024-07-23,247.0
SKU-001-PANTRY,2024-07-24,195.4
SKU-001-PANTRY,2024-07-25,182.6
SKU-001-PANTRY,2024-07-26,176.2
SKU-001-PANTRY,2024-07-27,191.0
SKU-001-PANTRY,2024-07-28,214.8
SKU-001-PANTRY,2024-07-29,240.9
SKU-001-PANTRY,2024-07-30,245.6
SKU-001-PANTRY,2024-07-31,227.5
SKU-001-PANTRY,2024-08-01,191.0
SKU-001-PANTRY,2024-08-02,165.3
SKU-001-PANTRY,2024-08-03,203.8
SKU-001-PANTRY,2024-08-04,221.4
SKU-001-PANTRY,2024-08-05,240.0
SKU-001-PANTRY,2024-08-06,225.8
SKU-001-PANTRY,2024-08-07,184.6
SKU-001-PANTRY,2024-08-08,192.8
SKU-001-PANTRY,2024-08-09,161.0
SKU-001-PANTRY,2024-08-10,193.0
SKU-001-PANTRY,2024-08-11,226.0
SKU-001-PANTRY,2024-08-12,236.8
SKU-001-PANTRY,2024-08-13,242.9
SKU-001-PANTRY,2024-08-14,174.5
SKU-001-PANTRY,2024-08-15,188.5
